,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,subway,tram,bus,railway,public_transport,PublicTraffic,What
798,48.1611858,11.5114098,Dall'Armistraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4323,48.1348542,11.4990798,Dalma und August,limited,,Restaurant,"Mo-Sa 11:00-15:00,17:30-22:00, We off, Su 11:00-22:00",,,https://www.dalma-august.de/,"Bavarian,Croatian",,,,,,,,Restaurant
12180,48.1598129,11.5443387,Damy,limited,,Restaurant,"Mo-Fr 11:00-15:00,17:00-21:00, Sa off, PH,Su 12:00-21:00",,,https://damy-bistro.de,Vietnamese,,,,,,,,Restaurant
3393,48.1174312,11.5468069,Dankl 32,limited,,Cafe,Tu-Su 10:00-18:00,,,,Cafe,no,,,,,,,Cafe
590,48.1363526,11.5497607,Das Bad,yes,,Restaurant,Mo-Su 11:00-22:00,,,https://www.dasbad089.de/,,,,,,,,,Restaurant
4375,48.1261917,11.5701715,Das Josef,limited,,Events Venue,,,,https://www.dasjosef.de/,International,,,,,,,,Events Venue
1460,48.1503737,11.538373,Das Neuhausen,limited,,Cafe,Mo-Su 09:00-01:00,,,,German,,,,,,,,Cafe
2850,48.1629582,11.5503324,Das Schloss,yes,,Restaurant,Mo-Su 09:00-01:00,,,,,,,,,,,,Restaurant
10907,48.1335294,11.5348587,"De ""KLOANE KNEIP""N Bei GISI",limited,,Pub,"Tu-Th 17:00-22:00, Fr,Sa 17:00-01:00",,,,,,,,,,,,Pub
7620,48.1519082,11.5618387,De Afric,limited,,Restaurant,"Mo-Su 12:00-15:00,17:00-00:00, Fr-Sa 17:00-05:00",,,,Ethiopian,,,,,,,,Restaurant
2485,48.1492114,11.5723286,Deeba,limited,,Restaurant,"Su-Fr 12:00-14:30, 18:00-23:00, Sa 18:00-23:00",,,,Pakistani,,,,,,,,Restaurant
6142,48.1455502,11.5596066,Dehbaschi,yes,,Restaurant,Mo-Su 12:00-23:00,,,https://www.dehbaschi.de/,Persian,no,,,,,,,Restaurant
1911,48.171258,11.5944205,Delhi Mehek,limited,,Restaurant,"Mo-Su 11:30-14:30,17:30-24:00, Sa 17:00-24:00",,,https://www.delhimehek.de/,Indian,,,,,,,,Restaurant
1256,48.135471,11.6054694,Delhi Palace,limited,,Restaurant,"Su-Fr 11:30-15:00, 17:30-24:00, Sa 17:30-24:00",,,https://www.delhi-restaurant.de/,Indian,,,,,,,,Restaurant
6854,48.1395934,11.5574676,Delice La Brasserie,yes,,Restaurant,Mo-Su 11:00-23:00,,,https://delice-la-brasserie.de/site/,,Fully Wheelchair Accessible,,,,,,,Restaurant
4809,48.1021577,11.6301978,Delikat Genussmomente am Dorfbach,yes,,Cafe,"Tu-Fr 08:00-18:00, Sa,Su 09:00-18:00",,,,Turkish,,,,,,,,Cafe
12822,48.1942973,11.5970552,Della Terra,yes,,Fast Food,Mo-Sa 07:00-20:00,,,,,,,,,,,,Fast Food
2721,48.1865861,11.5729916,Delphin Apotheke,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,https://www.delphinapotheke-muenchen.de,,,,,,,,,Pharmacy
3965,48.1394675,11.562607,Denizbank,yes,,Atm,,,,,,,,,,,,,Atm
3808,48.1509985,11.5796007,DenkStätte Weiße Rose,yes,,,"Mo-Fr 10:00-17:00,Sa 11:30-16:30",Museum,,https://www.weisse-rose-stiftung.de/denkstaette-weisse-rose-am-lichthof-der-lmu-muenchen/,,,,,,,,,Museum
7268,48.1485727,11.6220778,Denninger Straße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
378,48.1013875,11.6287923,Der Hufnagel,yes,"Eingang über Biergarten, Rückgebäude ebenerdig. Rollstuhl-WC im Erdgeschoß.",Restaurant,"Su 10:00-23:00, Mo-Fr 11:30-24:00, Sa 10:00-03:00",,,http://www.der-hufnagel.de,Regional,Fully Wheelchair Accessible,,,,,,,Restaurant
9339,48.1372893,11.5711361,Der Krieger Crêpes & Waffles,yes,,Fast Food,Mo-Sa 11:30-22:00,,,,,,,,,,,,Fast Food
1969,48.1347514,11.5751968,Der Pschorr,yes,"Barrierefreier Zugang zum Eingang (Auffahrt nicht im Bild, links) und allen Räumlichkeiten (Bierkeller, Wirtshaus, Galerie, Theresiensaal auch Wirtsgarten) und zur Rollstuhl-Toilette vorhanden. Personal ist sehr hilfsbereit.",Restaurant,Su-Sa 10:00-23:00,,,,Bavarian,Fully Wheelchair Accessible,,,,,,,Restaurant
4856,48.1288525,11.5750692,Der kleine Chinese,limited,,Restaurant,Mo-Su 10:00-23:00,,,http://www.der-kleine-chinese.de,"Chinese,Asian",,,,,,,,Restaurant
5733,48.1341963,11.5755446,Derag Livinghotel,limited,,,,Hotel,,,,,,,,,,,Hotel
11438,48.0763624,11.5163279,Dermatologische Privatpraxis Dr. Sonner,limited,,Doctors,"""nach Vereinbarung""",,,https://www.hautarzt-laser-solln.de/,,,,,,,,,Doctors
6118,48.1442111,11.5457571,Deroystraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
3970,48.0978384,11.5285256,Dessi Tadka,limited,,Restaurant,"Mo-Fr 11:30-14:30,17:30-23:00, Sa,Su,PH 17:00-23:00",,,https://dessitadka.com/,Indian,,,,,,,,Restaurant
602,48.1394705,11.5004093,Detterbeck,limited,,Cafe,"Mo-Su,PH 08:00-18:00",,,,"Ice Cream,Coffee Shop,Cake",,,,,,,,Cafe
11653,48.1361247,11.5977966,Deutsche Apotheker- und Ärztebank,limited,,Bank,Mo-Fr 10:00-15:00,,yes,,,,,,,,,,Bank
1919,48.179026,11.5855392,Deutsche Bundesbank,yes,"schwellenfrei, Behinderten-WC",Bank,Mo-Fr 08:15-12:30,,,,,,,,,,,,Bank
4208,48.1327178,11.5762904,Deutsche Eiche,limited,,Restaurant,Mo-Su 07:00-00:00,Attraction,,https://www.deutsche-eiche.com/,,no,,,,,,,"Restaurant,Attraction"
10982,48.1584795,11.6401236,Deutsche Post Filiale & Postbank Finanzcenter,yes,,Post Office,"Mo-Fr 09:30-18:00, Sa 09:00-12:30",,yes,,,,,,,,,,Post Office
13765,48.1313339,11.5678683,Deutsche Post und DHL,yes,,Post Office,"Mo-Fr 12:00-18:00, Sa 10:00-14:00",,,,,,,,,,,,Post Office
1184,48.1353656,11.5649503,Deutsche Postbank,limited,"Über zweiten kommt man mit dem Rollstuhl sehr gut rein, allerdings ist es drin sehr voll gestellt.",Post Office,"Mo-Fr 09:30-18:00, Sa 09:30-12:30",,,https://www.postbank.de/,,,,,,,,,Post Office
3068,48.1297388,11.5819874,Deutsches Museum,yes,,,,Viewpoint,,,,Fully Wheelchair Accessible,,,,,,,Viewpoint
5701,48.1504514,11.618434,Deutsches Schmerzzentrum München,yes,,Doctors,"Mo-Th 10:00-12:00,14:00-16:00, Fr 10:00-12:00",,,http://www.deutsches-schmerz-zentrum.de,,,,,,,,,Doctors
13391,48.0997263,11.6332157,Deutsches Schulterzentrum,yes,,Doctors,,,,,,,,,,,,,Doctors
8,48.1114554,11.6177664,Diakon-Kerolt-Weg,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
13604,48.093811,11.5688778,Diana Apotheke,yes,,Pharmacy,Mo-Sa 08:00-20:00,,,https://www.dianaapotheke.com,,,,,,,,,Pharmacy
10252,48.1447803,11.5629303,Die Briefträger,yes,,Restaurant,,,,,,,,,,,,,Restaurant
8471,48.1567233,11.5112854,Die Griechin am Schloß,limited,,Restaurant,"Su 11:00-24:00, Mo-Sa 11:00-01:00",,,,Greek,no,,,,,,,Restaurant
9670,48.1173737,11.6009872,Die Kommune,limited,,Social Facility,,,,,,,,,,,,,Social Facility
9518,48.094488,11.5051757,Die Küche im Kraftwerk,yes,,Restaurant,"Mo-Sa 10:00-22:00, Su,PH closed",,,http://www.diekuecheimkraftwerk.de,"International,Chinese",Fully Wheelchair Accessible,,,,,,,Restaurant
4011,48.132934,11.5393728,Die Leckerei,limited,Eine Stufe am Eingang,Cafe,"Mo-Fr 10:00-18:00+, Sa off, PH,Su 12:00-18:00+, ""bei schönem Wetter bis 20:00""",,,,,,,,,,,,Cafe
12961,48.1446182,11.5328177,Die vier Frauengestalten,yes,,,,Artwork,,,,,,,,,,,Artwork
5123,48.1664936,11.5905487,Dietlindenstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
5407,48.1242011,11.589897,Dilan,yes,,Restaurant,"Mo-Fr 11:30-14:30,17:00-01:00, Sa 17:00-01:00, Su 10:00-15:00,17:00-01:00",,,https://dilanmezebar.de/,Turkish,no,,,,,,,Restaurant
499,48.1275272,11.5985998,Dilo,limited,,Restaurant,Mo-Sa 17:00-01:00,,,,Kurdish,,,,,,,,Restaurant
4284,48.137179,11.5743714,Dinea,yes,,Restaurant,Mo-Sa 09:00-20:00,,,https://www.galeria.de/,International,,,,,,,,Restaurant
2658,48.1865473,11.5724662,Dionysos,limited,,Restaurant,"PH,Mo-Su 11:00-15:00,17:30-18:00+",,,,Greek,no,,,,,,,Restaurant
11341,48.1586412,11.5831002,Discothek Crash,yes,,Nightclub,"Th 20:00-01:00, Fr-Sa 21:00-04:00",,,http://www.discothek-crash.de,,,,,,,,,Nightclub
3535,48.1525741,11.5356252,Diwan,yes,,Restaurant,"Tu-Fr 11:30-13:00,17:00-23:00, Sa,Su 11:30-23:00",,,https://restaurant-diwan.de/,Persian,,,,,,,,Restaurant
7663,48.0983625,11.6296578,Diwan Foods,yes,,Fast Food,"Mo-Fr 17:00-22:30, Sa 16:00-23:00, Su 12:00-22:30",,,,Indian,,,,,,,,Fast Food
3109,48.1597998,11.5433611,Dom-Pedro-Apotheke,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30",,,,,,,,,,,,Pharmacy
12210,48.1841403,11.5969875,DomagKasino - Markt,yes,,Marketplace,Sa 15:00-17:00,,,https://biohof-butz.de/,,,,,,,,,Marketplace
10698,48.1841761,11.5971182,DomagKasino - Quartiersladen,limited,,Cafe,"We 19:00+, Su 15:00+",,,https://www.domagkpark.de/domagkasino-quartiersladen.html,,,,,,,,,Cafe
4232,48.1838341,11.5790288,Domagk-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-19:00, Sa 08:30-13:00",,,https://www.domagk-apotheke.de,,,,,,,,,Pharmacy
5231,48.1836311,11.590201,Domagkstraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
8490,48.1842869,11.5840877,Domagkstraße West,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
7087,48.1506464,11.5741595,Don't Call Mama,limited,,Bar,"Mo-Th 18:00-02:00, Fr-Sa 18:00-04:00",,,,,,,,,,,,Bar
2134,48.1376594,11.574909,Donisl,yes,"EG barrierefrei, Aufzug zum 1. Stock, sowie zu den Toiletten im Untergeschoss vorhanden",Restaurant,"Mo-Sa 10:30-22:00, Su 10:30-15:00",,,https://www.donisl.com/,Bavarian,Fully Wheelchair Accessible,,,,,,,Restaurant
20,48.1426701,11.5347463,Donnersbergerbrücke,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
22,48.1467724,11.5365702,Donnersbergerstraße,limited,,,,,,,,no,,,Bus Stop,,stop position,Bus Stop,Bus Stop
1985,48.1549485,11.5752311,Donuts & Candies,yes,,Cafe,"Tu-Fr 07:00-21:00, Sa 08:30-20:00",,,https://donutsandcandies.de/,,,,,,,,,Cafe
2201,48.1491771,11.5698769,Doppelsäule 23/70,yes,,,,Artwork,,,,,,,,,,,Artwork
3096,48.1070776,11.6562293,Doy Doy Kebaphaus,yes,,Fast Food,"Mo-Sa 08:00-23:00, Su 09:00-22:00",,,,Kebab,,,,,,,,Fast Food
12865,48.1499483,11.5340147,Dr. Andreas Philippi Gynäkologie Neuhausen,yes,,Doctors,"Mo 08:30-17:00, Tu 08:30-18:00, We 08:30-19:00, Th-Fr 8:30-13:00, Sa-Su off",,,,,,,,,,,,Doctors
7431,48.0987834,11.5232363,Dr. Annette Obster,limited,,Doctors,,,,http://www.dr-obster.com,,,,,,,,,Doctors
7432,48.0987954,11.523145,Dr. Axel Hildebrandt,limited,,Doctors,,,,,,,,,,,,,Doctors
11259,48.1469833,11.502875,Dr. Barsnick - Harnest,yes,Ärztehaus Laim Internist,Doctors,,,,,,Fully Wheelchair Accessible,,,,,,,Doctors
9696,48.1379112,11.5645607,Dr. Beicht,yes,,Doctors,"Mo-Tu,Th 10:00-12:00,15:00-17:00",,,https://www.praxis-dr-beicht.de/,,,,,,,,,Doctors
5465,48.2023816,11.5864799,Dr. Butenberg,limited,"kein WC, sehr schwierige Parkplatzsituation",Doctors,,,,,,,,,,,,,Doctors
8236,48.130245,11.577792,Dr. C. Scharf,yes,,Doctors,,,,,,,,,,,,,Doctors
9485,48.0806041,11.5281572,Dr. Charlotte Blasini,yes,,Doctors,,,,,,,,,,,,,Doctors
7437,48.0988319,11.5234483,Dr. Christian Wiegand,limited,,Doctors,,,,,,,,,,,,,Doctors
7433,48.0988162,11.523359,Dr. Christoph J. Nobis,limited,,Doctors,,,,https://www.hno-muenchen-nobis.de/,,,,,,,,,Doctors
9638,48.137927,11.574762,Dr. Deindl,yes,,Doctors,,,,https://www.dr-deindl.de,,,,,,,,,Doctors
13243,48.1017119,11.6357844,Dr. Elena Thomas,yes,,Doctors,"Mo-Fr 08:00-12:00, Mo,Th 16:00-18:00",,,,,,,,,,,,Doctors
13387,48.1033414,11.5817518,Dr. Elisabeth Ertl,yes,,Doctors,,,,,,,,,,,,,Doctors
12976,48.1159864,11.5815344,Dr. Eva Katzenberger,yes,,Veterinary,"Mo-Fr 10:00-12:00,17:00-19:00, Sa 10:00-12:00, PH off",,,,,,,,,,,,Veterinary
13437,48.1428754,11.5747583,Dr. Frühwein + Partner,yes,,Clinic,"Mo,Tu,Th 10:00-13:00,17:00-19:00 open ""Freie Sprechstunde"", We,Fr 10:00-13:00 open ""Freie Sprechstunde"", Mo,Tu,Th 08:00-10:00,13:00-17:00 open ""Terminsprechstunde"", We,Fr 08:00-10:00,13:00-15:00 open ""Terminsprechstunde"", Sa,Su,PH off",,,https://www.drfruehwein.de,,,,,,,,,Clinic
12833,48.0873297,11.6003938,"Dr. Gabriel Schmidt, Dr. Karin Schulze-Stadhouders",yes,,Doctors,"Mo-Fr 08:00-12:00, Mo,Tu,Th 15:00-18:00",,,,,,,,,,,,Doctors
7464,48.099917,11.527959,Dr. Georg Gusbeth,yes,,Doctors,"Mo 08:00-12:00,14:00-17:00, Tu,Th 14:00-18:00, We 08:00-14:00, Fr 08:00-13:00",,,http://www.drgusbeth.de,,,,,,,,,Doctors
6430,48.1244063,11.6648904,Dr. Günter Reisinger,yes,,Doctors,,,,,,,,,,,,,Doctors
13388,48.1033635,11.5816289,Dr. Hans-Peter Car,yes,,Doctors,"Mo-Fr 08:30-12:00, Mo,Tu,Th 15:00-18:00",,,,,,,,,,,,Doctors
3197,48.110354,11.6774197,Dr. Hermann-Weisser,yes,,Doctors,Mo-Fr 08:00-10:00,,,,,,,,,,,,Doctors
7953,48.1231624,11.6577385,Dr. Horst Möritz,yes,,Veterinary,"Mo,Tu,Th,Fr 09:00-24:00, Mo,Tu 16:00-06:00, Th 17:00-19:00",,,https://www.drmoeritz.de/,,,,,,,,,Veterinary
7436,48.098841,11.5231333,Dr. Ingo Scheunemann,limited,,Doctors,"Mo-Fr 08:00-12:00, Mo,Th 15:00-18:00, PH off",,,https://internist-scheunemann.de/,,,,,,,,,Doctors
12885,48.0854787,11.6600551,Dr. Janita Biele,yes,,Doctors,"Mo-Tu, Th 08:00-12:00, 15:00-18:00, We, Fr 08:00-12:00",,,https://www.drbiele.de/,,,,,,,,,Doctors
13386,48.1033906,11.581751,Dr. Karl-Heinz Gunzelmann,yes,,Doctors,"""nach Vereinbarung""",,,,,,,,,,,,Doctors
11193,48.0768598,11.5247477,Dr. Lehner / Orthopäde,yes,,Doctors,,,,https://www.drlehner.com/,,,,,,,,,Doctors
13087,48.0873695,11.485282,Dr. Linda Kühne,yes,,Doctors,"Mo-Fr 08:00-12:00, Mo,We 14:00-18:00, Su,PH off",,,,,,,,,,,,Doctors
3762,48.1378877,11.5738616,Dr. Med. Trapmann,yes,,Doctors,,,,,,,,,,,,,Doctors
11645,48.0873989,11.4852266,Dr. Rolf Werner,yes,,Doctors,"Mo-Fr 09:00-12:00, Mo,Tu,Th 15:00-17:00, Su,PH off",,,,,,,,,,,,Doctors
7272,48.0883464,11.6403451,Dr. Sabisch,yes,,Doctors,"Mo-We,Fr 08:30-12:00, Mo 14:30-17:30, Tu 14:30-18:00, We 14:00-16:00, Th 14:30-17:00",,,,,,,,,,,,Doctors
1667,48.1983772,11.5449687,Dr. San Nicolò Overbeck,limited,,Doctors,"Mo, Tu 09:00-12:00, 16:00-18:00, We 08:30-12:00, Th 17:00-19:00, Fr 09:00-12:00 || ""nach Vereinbarung""",,,,,,,,,,,,Doctors
1033,48.1516323,11.4180727,Dr. Sylvia Brugger,limited,,Veterinary,,,,,,,,,,,,,Veterinary
6107,48.2022097,11.6064733,Dr. Tassilo Schilling,yes,,Doctors,"Mo,Tu 08:00-12:00,15:00-18:00, We,Fr 08:00-12:00, Th 08:00-12:00,15:00-19:00",,,,,,,,,,,,Doctors
7435,48.0988281,11.5232564,Dr. Thomas Bachhuber,limited,,Doctors,,,,,,,,,,,,,Doctors
7465,48.1412561,11.5770192,Dr. Udo Hess,yes,,Doctors,,,,https://www.frauenarzt-hesse.de/,,,,,,,,,Doctors
4551,48.1313685,11.5880929,Dr. Vogel,yes,,Doctors,,,,,,,,,,,,,Doctors
11264,48.1537978,11.5309673,Dr. Walther,yes,,Doctors,"""nach Vereinbarung""",,,,,no,,,,,,,Doctors
6428,48.124494,11.6648176,Dr. med Astrid Lippert,yes,,Doctors,,,,,,,,,,,,,Doctors
9556,48.110641,11.5959944,Dr. med. Beate Sauer,yes,,Doctors,,,,,,,,,,,,,Doctors
11162,48.0952478,11.522432,Dr. med. Bystrik Cepissak,yes,,Doctors,"Mo 08:00-13:00,Tu,Th 08:00-12:00, 15:00-18:00,We,Fr 08:00-12:30",,,https://www.hausarztpraxis-obersendling.de/,,,,,,,,,Doctors
8830,48.1648769,11.4707191,Dr. med. Claudia Brand und Dr. med. Giselher Brand,yes,,Doctors,"Mo-Fr 08:00-12:00, Mo,Tu,Th 15:00-18:00",,,https://drbrand.de/,,,,,,,,,Doctors
10925,48.1245361,11.6410808,Dr. med. Dagmar Dörfler-Gebhard,limited,,Doctors,"Mo-Th 08:30-11:00, Tu,Th 15:00-17:00",,,https://dr-doerfler-gebhard.business.site/,,,,,,,,,Doctors
5483,48.1621577,11.587013,Dr. med. Denis Gründel,limited,"Praxis ist in der Häuserzeile gegenüber der Haltestelle. Kein Rolli-WC, schwer zu öffnende Hauseingangstüre.",Doctors,"Mo-Th 08:30-12:00, Mo-Th 15:00-18:00, Fr 08:30-14:00, PH off",,,https://www.mdoc.de/,,,,,,,,,Doctors
512,48.1136726,11.6150533,Dr. med. Dorothee Westenhuber,limited,,Doctors,"Mo-Fr 09:00-12:00, Tu 16:00-18:00",,,,,,,,,,,,Doctors
9526,48.1011073,11.5802485,Dr. med. Eberhard Koll,limited,,Doctors,"Mo-Th 09:00-11:00, Mo,Tu,Th 16:00-18:00, Fr 09:00-12:00",,,,,,,,,,,,Doctors
12580,48.2145778,11.5586366,Dr. med. Franz Bayer,yes,,Doctors,"Mo, Tu, Th 08:00-12:00, 16:00-18:00, Fr 08:00-12:00",,,,,,,,,,,,Doctors
12965,48.0768523,11.5247453,Dr. med. Klemens Jüngling / Internist,yes,,Doctors,,,,https://juengling-dr.de/,,,,,,,,,Doctors
3345,48.2012323,11.5469167,Dr. med. Kristina Radmann,yes,,Doctors,,,,,,,,,,,,,Doctors
4226,48.1603947,11.5662077,Dr. med. Margit Süßmann Privatärztliche Praxis,limited,,Doctors,"Mo,Tu,Fr 19:00-11:00, We 16:00-18:00 || ""Nach Vereinbarung""",,,,,,,,,,,,Doctors
13421,48.0773262,11.5199753,Dr. med. Michael Brijnen von Oldershausen,yes,,Doctors,"Mo-We,Fr 09:00-12:00, Mo,We,Fr 14:30-18:00, Th off",,,https://www.dr-brijnen.de/,,,,,,,,,Doctors
11269,48.1645048,11.476783,Dr. med. Michael Ludwig,yes,,Doctors,"Mo 08:00-12:00,15:00-17:00, Tu 08:00-12:00,16:00-19:00, We 08:00-12:00, Th 08:00-12:00,15:00-18:00, Fr 08:00-12:00",,,,,,,,,,,,Doctors
6426,48.124472,11.6648861,Dr. med. Michael Richter,yes,,Doctors,"Oct 1-Apr 30 Mo,Fr 08:00-11:00,14:00-15:30, Tu,Th 08:00-11:00,15:00-17:00, We 09:30-11:30, May 1-Sep 30 Mo 08:00-11:00,14:00-15:30, Tu,Th 08:00-11:00,15:00-17:00, We 09:30-11:30, Fr 08:00-11:00,14:00-15:00",,,,,,,,,,,,Doctors
5390,48.1433044,11.6045116,Dr. med. Michael Roth,yes,,Doctors,,,,,,,,,,,,,Doctors
6427,48.124452,11.664972,Dr. med. Opitz,yes,,Doctors,"Mo,Fr 10:00-18:00, Tu-Th 08:00-16:00",,,,,,,,,,,,Doctors
9557,48.1106844,11.5959686,Dr. med. Peter Borlinghaus,yes,,Doctors,,,,,,,,,,,,,Doctors
10103,48.1398983,11.5670558,"Dr. med. Ralf Wuttge, Radiologe",yes,,Doctors,,,,https://www.radiologie-wuttge.de/,,Fully Wheelchair Accessible,,,,,,,Doctors
11453,48.1671255,11.5718373,Dr. med. Socrates Dimitriou Zottos,yes,,Doctors,"Mo-Fr 08:30-12:30, Mo 14:00-18:00, Tu,Th 14:00-17:30, We 14:00-17:00",,,,,no,,,,,,,Doctors
12576,48.2145297,11.5586439,Dr. med. Stefan Hammann,yes,,Doctors,"Mo, We, Fr 09:00-12:00, Tu, Th 09:00-12:00, 14:00-17:00",,,,,,,,,,,,Doctors
9510,48.087298,11.6002626,Dr. med. Stephan Martini,yes,,Doctors,"Mo,Tu,Th 08:00-12:00,14:00-18:00, We 08:00-12:00, Fr 08:00-14:00",,,,,,,,,,,,Doctors
11637,48.1541084,11.4240283,Dr. med. Sylvia Döpfer,yes,,Doctors,"Mo,Tu 08:30-12:00,14:30-16:30, We,Th 08:30-12:00, Fr 08:30-12:00,14:00-16:30",,,,,,,,,,,,Doctors
8256,48.155435,11.6370557,Dr. med. Ulf Kahmann,yes,,Doctors,"Mo-Th 08:15-12:30,16:00-18:30, We,Fr 08:15-12:30",,,https://www.doc-kahmann.de/,,,,,,,,,Doctors
9374,48.2076464,11.5519344,Dr. med. Verner Hallmen,yes,,Doctors,"Mo 08:00-12:00, 15:00-17:00, Tu, Th 08:00-11:00, 14:00-17:00, We, Fr 08:00-12:00",,,,,,,,,,,,Doctors
1407,48.1227223,11.6620844,Dr. med. Wolfgang Hofmeister,unknown,,Doctors,"Mo,Tu,Th 08:30-12:30, 17:30-19:00, Fr 08:00-13:00, Sa,Su,PH off",,,,,,,,,,,,Doctors
12578,48.2145167,11.5585801,Dr. med. dent. Valentin Melchner,yes,,Doctors,"Mo, Tu, Th 09:00-13:00, 14:00-19:00, We, Fr 09:00-14:00",,,,,,,,,,,,Doctors
8434,48.1977114,11.5448778,Dr. med. vet. Petra Kracher,yes,,Veterinary,"Mo-Fr 09:00-12:00,14:00-18:00",,,https://petra-kracher.de/,,,,,,,,,Veterinary
80,48.1302821,11.5592053,Dr. von Haunersches Kinderspital,yes,,Hospital,,,,https://www.lmu-klinikum.de/,,,,,,,,,Hospital
6953,48.1168525,11.5324077,Drachenseestraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
3053,48.125967,11.598454,Drehleier,limited,,Theatre,,,,https://theater-drehleier.de,,,,,,,,,Theatre
5948,48.1512374,11.5634594,Dreierlei,yes,,Cafe,Mo-Su 10:00-22:00,,,,,Fully Wheelchair Accessible,,,,,,,Cafe
2707,48.0907802,11.5565153,Dres. med. Zenkel & Ulbrich,yes,,Doctors,"Mo-Th 08:00-18:00, Fr 08:00-14:00",,,,,,,,,,,,Doctors
4495,48.1473855,11.5615815,Driveri,yes,,Restaurant,"Mo-Fr 08:00-19:00, Sa 09:00-17:00",,,,Italian,,,,,,,,Restaurant
3754,48.0978344,11.5090759,Drygalski-Allee,limited,,,,,,,,,,,Bus Stop,,platform,Bus Stop,Bus Stop
4639,48.1312263,11.5662495,DuDu,limited,Toiletten schmal,Restaurant,"Mo-Sa 11:30-14:30,18:00-23:00, Su 17:00-22:00",,,,Vietnamese,,,,,,,,Restaurant
10222,48.1379942,11.5798529,Dubliner Irish Pub,limited,,Pub,Mo-Su 11:00-05:00,,,http://www.dubliner-irishpub.de,,,,,,,,,Pub
11499,48.1372629,11.5788714,Due Passi Bistro,limited,nur Bartische,Restaurant,Mo-Fr 10:00-17:00,,,,Italian,,,,,,,,Restaurant
13204,48.1019701,11.6448357,Dunkin',yes,,Fast Food,,,,,"Donut,Coffee Shop",,,,,,,,Fast Food
11768,48.0988908,11.6533123,Döner &Pizza,limited,,Fast Food,"Mo-Th 10:00-22:00, Fr-Su 10:00-23:00",,,,"Pizza,Kebab",,,,,,,,Fast Food
10327,48.12133,11.5982335,Döner Fresh&Spicy,yes,,Fast Food,Mo-Fr 10:00-16:00,,,,Kebab,,,,,,,,Fast Food
11034,48.1170285,11.5364117,Döner Harras,yes,,Fast Food,,,,,,,,,,,,,Fast Food
11724,48.1871143,11.5931559,Döner Imbiss Ela 2,yes,,Restaurant,,,,,"Fast Food,Sandwich,Kebab,Arab",no,,,,,,,Restaurant
13187,48.1005008,11.6442993,Dönertime,yes,,Fast Food,,,,,Kebab,,,,,,,,Fast Food
2078,48.2121396,11.5624293,Dülferstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
6066,48.1423454,11.4231633,E Center,yes,,Post Office,,,,,,,,,,,,,Post Office
7376,48.0780977,11.5082081,E. Siebold,yes,,Doctors,"""nach Vereinbarung""",,,https://eva-siebold.de/,,,,,,,,,Doctors
6024,48.1366979,11.5346635,EATapaS,limited,,Restaurant,"Mo 17:00-24:00, Tu-Sa 00:00-01:00,17:00-24:00, Su 00:00-01:00",,,,Tapas,no,,,,,,,Restaurant
9728,48.1415423,11.5592342,EC,yes,,Atm,,,,,,,,,,,,,Atm
2598,48.1426726,11.425881,ECONTEL HOTEL München,yes,,,,Hotel,,https://www.amber-hotels.de/muenchen/,,,,,,,,,Hotel
7396,48.1466458,11.5633122,ELLA,yes,,Restaurant,"Tu-Sa 09:00-20:00, Su 09:00-18:00",,,https://ella-lenbachhaus.com,Italian,Fully Wheelchair Accessible,,,,,,,Restaurant
10187,48.1342319,11.5742195,Eataly,yes,,Cafe,"Mo-Th 08:00-20:00, Fr,Sa 08:00-23:00, Su 11:00-20:00",,,https://www.eataly.net/de de/geschaefte/muenchen/,Italian,no,,,,,,,Cafe
2643,48.1212121,11.6255363,Echardinger Einkehr,yes,,Restaurant,Mo-Su 10:00-24:00,,,https://echardinger-einkehr.de/,Regional,Fully Wheelchair Accessible,,,,,,,Restaurant
5406,48.1633583,11.5499285,Eckersberger 13,limited,,Biergarten,,,,,,,,,,,,,Biergarten
3010,48.1525909,11.5632009,Eclipse Grillbar,limited,,Restaurant,Mo-Su 11:30-23:00,,,,"Israeli,Barbecue",,,,,,,,Restaurant
4594,48.1442728,11.5366229,Edeka Tiefgarage,yes,,Parking Entrance,,,,,,,,,,,,,Parking Entrance
